state_ut,per_poverty,per_literacy,total_crime
Madhya Pradesh,36.7,69.3,434188
Maharashtra,24.5,82.3,409804
Uttar Pradesh,37.7,67.7,390270
Tamil Nadu,17.1,80.1,385758
Andhra Pradesh,21.1,67,379560
Kerala,12,94,344274
Rajasthan,24.8,66.1,331244
West Bengal,26.7,76.3,286394
Karnataka,23.6,75.4,275200
Bihar,53.5,61.8,271792
Gujarat,23,78,246742
Assam,37.9,72.2,133428
Orissa,37,72.9,122554
Haryana,20.1,75.6,121482
Chhattisgarh,48.7,70.3,114436
Delhi,14.2,86.2,106706
Jharkhand,39.1,66.4,71676
Punjab,15.9,75.8,69766
Jammu & Kashmir,9.4,67.2,49008
Himachal Pradesh,9.5,82.8,28624
Uttarakhand,18,78.8,17548
Tripura,17.4,87.2,11606
Puducherry,1.2,85.8,8724
Goa,8.7,88.7,6898
Manipur,47.1,76.9,6436
Meghalaya,17.1,74.4,5510
Arunachal Pradesh,25.9,65.4,4572
Mizoram,21.1,91.3,3642
Nagaland,20.9,79.6,2166
Andaman & Nicobar Island,0.4,86.6,1586
Sikkim,13.1,81.4,1192
Dadra and Nagar,39.1,76.2,744
Daman and Diu,33.3,87.1,448
Lakshwadeep,6.8,91.8,88
