time,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
2001,35655,31013,3304,15694,0,15694,20860,13681,7179,6106,1540,19277,98153,233527,55819,177708,76057,14319,42544,1641,10484,269476,6738,33622,9656,49032,114,56750,679362,1714924
2002,34759,29940,3556,15970,3,15967,20527,13613,6914,6054,1774,18262,94101,230837,59234,171603,68806,13583,44173,1476,11763,263174,6687,33497,10027,49102,76,63628,709421,1731193
2003,32231,25535,3964,15357,1,15356,18836,12499,6337,5275,2195,17071,90929,229693,61862,167831,57254,13001,45399,2012,9305,259736,6078,32450,12220,49492,46,60270,680367,1668716
2004,33127,27371,3855,17682,2,17680,22118,14697,7421,5281,2205,17997,90615,254051,71809,182242,59904,13731,49617,1485,8599,275088,6900,33966,9871,56867,89,68990,718978,1778387
2005,32264,27564,3514,17701,7,17694,21242,14644,6598,5114,2677,17163,88015,255156,76847,178309,56174,13178,51247,2347,8404,269047,6673,33413,9759,56995,148,71064,717678,1766537
2006,32005,26720,3460,18725,2,18723,22549,16348,6201,4733,2929,17915,89716,256856,81585,175271,56554,13194,55763,2127,8447,262930,7481,35899,9822,61400,67,78146,752892,1820330
2007,31823,26871,3550,20139,1,20138,25873,19249,6624,4545,2976,18579,89163,268006,91381,176625,59828,15080,62990,2163,8993,271331,7955,37866,10783,74143,61,86538,804352,1933608
2008,32212,28209,3797,21001,0,21001,28694,21803,6891,4506,3083,19981,91816,297894,109012,188882,65947,16132,65086,2950,9208,283033,8043,39802,12084,79957,67,91460,839067,2044029
2009,31817,28669,3846,20928,2,20926,31324,24086,7238,4550,2781,21894,90337,302464,126803,175661,62885,15993,70718,2888,8702,277276,8242,38159,10891,88263,48,97686,850733,2071094
2010,32770,29110,3711,21665,6,21659,35232,28055,7177,4326,2584,22794,88677,307224,132509,174715,67518,16405,77154,2556,8456,287097,8248,40012,9881,92637,36,105429,910017,2173539
2011,33762,30999,3636,23634,1,23633,40897,33480,7417,4252,2870,24138,91085,317901,136532,181369,68450,17120,85066,2263,9022,300901,8476,42311,8408,97560,80,107722,951669,2272222
2012,33913,34699,3538,24217,1,24216,43622,36102,7520,4286,3086,26735,91177,315375,139960,175415,74554,17560,91712,2290,11757,330577,8099,44624,8965,104542,59,106678,950836,2332901
